rainfall,fertilizer,temperature,nitrogen,phosphorus,potassium,yield,crop_type
1230,80,28,80,24,20,12.0,Corn
480,60,36,70,20,18,8.0,Sorghum
1250,75,29,78,22,19,11.0,Soybean
450,65,35,70,19,18,9.0,Sorghum
1200,80,27,79,22,19,11.0,Wheat
500,70,34,74,22,16,10.0,Barley
1275,71,28,77,21,20,11.0,Corn
425,65,37,67,18,15,7.0,Corn
1200,77,27,78,23,20,12.0,Sorghum
400,50,39,60,18,15,6.0,Barley
1280,80,26,80,24,20,12.0,Barley
415,55,38,65,19,17,8.0,Wheat
1225,79,29,79,23,20,11.0,Sorghum
425,50,37,65,18,19,9.0,Sorghum
1250,70,24,70,22,18,11.0,Rice
400,60,39,60,18,15,5.5,Sorghum
1300,80,28,80,24,20,12.0,Corn
410,55,36,65,21,16,7.0,Wheat
1150,77,28,76,23,20,11.0,Barley
1200,78,27,78,23,19,12.0,Sorghum
410,50,37,59,19,15,6.0,Wheat
1280,76,26,75,24,19,11.0,Sorghum
425,55,38,65,19,17,7.0,Barley
1225,73,29,73,23,20,10.0,Soybean
450,50,37,65,18,19,9.0,Barley
1250,70,24,70,22,18,10.0,Barley
400,60,39,60,18,15,6.0,Barley
1250,80,28,80,24,20,12.0,Sorghum
405,55,36,60,21,16,7.0,Rice
1200,72,29,73,21,19,10.0,Barley
1150,80,26,75,21,20,11.0,Corn
475,55,39,61,18,16,6.0,Corn
1275,76,26,75,24,19,11.0,Wheat
450,55,38,65,19,17,7.0,Rice
1200,73,29,73,23,20,10.0,Wheat
500,50,37,65,18,19,9.0,Corn
1300,70,24,70,22,18,10.0,Corn
425,60,39,60,18,15,6.0,Soybean
1250,75,26,75,22,19,12.0,Barley
440,58,37,66,22,18,8.0,Corn
1275,78,28,77,23,21,11.0,Sorghum
405,55,36,60,21,16,7.0,Sorghum
1175,78,28,75,23,22,11.0,Wheat
410,60,39,65,18,15,6.0,Wheat
1250,80,26,78,23,19,11.0,Barley
460,55,38,61,20,18,7.0,Barley
1275,76,26,75,24,19,11.0,Soybean
445,60,38,68,22,18,8.0,Rice
1220,77,29,75,22,19,10.0,Wheat
450,50,37,60,18,15,6.0,Barley
1225,79,24,79,22,19,11.0,Wheat
430,65,39,65,19,16,6.0,Barley
1275,77,27,78,21,20,11.0,Corn
400,52,38,64,19,15,6.5,Wheat
1245,78,27,78,22,19,10.0,Corn
455,58,37,61,21,18,7.5,Wheat
1280,73,28,75,24,19,11.0,Rice
475,62,37,68,22,18,9.0,Soybean
1300,79,28,77,23,19,10.0,Sorghum
425,55,36,65,19,15,7.0,Sorghum
1175,77,25,75,22,19,11.0,Sorghum
425,70,39,70,20,16,6.5,Corn
1200,75,27,79,21,20,11.0,Barley
450,56,40,67,18,15,7.0,Sorghum
1200,75,27,76,21,19,11.0,Rice
410,55,38,68,20,16,7.0,Sorghum
1250,75,27,75,23,20,11.0,Wheat
475,60,37,63,20,18,7.0,Corn
1225,75,29,77,23,19,10.0,Wheat
455,60,38,65,20,16,8.5,Wheat
1245,77,27,75,22,20,9.5,Wheat
450,59,40,67,18,16,7.5,Soybean
1200,79,27,77,23,20,10.5,Soybean
475,72,36,71,21,17,7.0,Barley
1275,77,28,76,22,19,10.0,Corn
475,58,39,68,19,16,7.5,Rice
1300,80,28,80,24,20,12.0,Rice
400,50,40,60,18,15,6.0,Rice
1175,70,28,70,22,19,10.0,Wheat
445,65,39,65,21,19,7.5,Soybean
1200,77,29,76,22,19,9.5,Corn
450,65,38,60,20,16,8.0,Wheat
1225,75,28,79,21,19,9.5,Soybean
450,65,39,70,20,19,8.5,Soybean
1300,76,28,77,22,20,9.0,Sorghum
450,70,36,72,25,18,8.0,Sorghum
1250,77,28,76,22,19,10.0,Corn
475,60,39,70,20,17,8.0,Corn
1200,75,28,77,23,19,11.0,Corn
410,52,40,62,19,16,6.5,Wheat
1225,75,28,75,23,20,11.0,Barley
460,60,39,60,20,16,7.0,Corn
1150,78,29,77,21,18,9.0,Sorghum
475,65,38,60,20,16,8.0,Barley
1250,77,28,78,23,20,9.0,Wheat
425,60,39,65,19,17,6.5,Barley
1220,79,28,77,23,21,10.5,Rice
480,65,36,68,21,16,7.0,Barley
502,98,20,60,18,23,10.2,Barley
835,74,35,72,26,18,10.4,Sorghum
1260,82,32,80,22,11,8.6,Barley
670,87,29,85,16,14,8.5,Sorghum
506,55,31,77,23,15,13.3,Wheat
471,93,21,72,27,16,12.9,Soybean
1100,94,22,80,28,14,8.1,Corn
420,81,29,80,20,18,14.1,Rice
1014,94,21,77,23,10,14.5,Rice
521,96,32,64,22,16,8.3,Wheat
866,70,32,72,29,19,8.5,Corn
614,65,37,63,29,16,10.1,Corn
730,70,22,76,21,13,14.4,Wheat
858,60,26,62,27,18,13.8,Corn
487,86,33,76,28,23,6.0,Soybean
772,85,39,87,15,21,8.9,Wheat
499,84,36,70,28,20,10.5,Soybean
1271,68,31,80,26,14,10.0,Corn
1063,69,35,79,17,13,6.9,Wheat
530,67,31,82,25,22,13.6,Corn
1061,96,34,80,28,16,11.8,Wheat
708,90,29,85,16,13,13.4,Corn
1169,98,26,89,19,24,13.6,Soybean
743,63,39,63,29,12,12.5,Soybean
891,64,24,61,19,18,9.4,Corn
813,80,20,79,19,20,11.1,Wheat
1205,50,36,75,18,17,6.6,Rice
785,52,22,87,19,10,11.7,Soybean
591,65,32,77,17,16,6.8,Soybean
1355,72,33,67,26,18,11.9,Sorghum
676,60,37,62,15,17,7.3,Rice
560,61,23,68,19,17,6.2,Corn
859,59,37,88,27,22,6.7,Wheat
713,81,24,79,23,15,5.0,Sorghum
421,65,35,88,27,20,12.2,Corn
652,57,20,65,23,13,12.3,Barley
1147,87,33,69,18,17,10.1,Soybean
1256,61,34,80,17,12,6.6,Barley
960,73,28,69,15,22,5.8,Soybean
874,77,34,72,16,18,5.2,Soybean
458,57,36,76,22,22,6.7,Barley
910,77,23,68,15,11,13.9,Barley
1081,85,31,76,22,11,7.4,Corn
875,75,24,83,27,21,8.5,Sorghum
1099,57,24,68,21,22,6.1,Sorghum
1375,99,30,68,29,24,7.2,Barley
1182,77,25,60,22,21,10.2,Corn
589,77,26,61,26,16,11.1,Sorghum
1357,86,33,87,20,21,7.5,Corn
1086,90,30,75,26,19,5.6,Corn
1357,85,32,88,28,13,8.9,Soybean
962,76,21,60,29,19,7.3,Sorghum
1275,66,26,69,29,17,7.2,Sorghum
966,58,39,77,23,18,14.6,Soybean
643,82,23,85,17,16,11.2,Barley
1231,69,27,87,24,14,10.6,Soybean
904,62,39,67,18,17,9.2,Sorghum
530,77,38,80,27,13,9.3,Sorghum
884,97,32,87,20,11,10.4,Barley
1218,78,33,70,22,20,12.0,Soybean
1046,62,29,82,19,24,12.0,Wheat
420,95,30,61,17,21,6.7,Wheat
1240,84,21,67,20,15,10.0,Barley
566,55,28,86,18,18,9.1,Soybean
673,67,36,81,23,10,13.7,Soybean
787,54,22,67,27,20,11.3,Corn
1000,96,25,76,17,19,10.3,Sorghum
715,74,24,74,18,21,6.2,Rice
413,51,24,76,21,16,11.1,Barley
641,59,34,87,21,19,6.2,Rice
1176,79,36,82,26,18,8.4,Rice
745,99,28,83,26,19,6.4,Barley
964,94,22,72,18,18,11.9,Soybean
1297,54,39,78,20,19,7.1,Barley
739,82,36,64,26,20,8.9,Rice
491,50,29,71,27,22,14.0,Sorghum
766,67,22,60,17,12,7.0,Sorghum
1355,81,37,82,20,20,10.1,Sorghum
854,96,37,64,26,22,9.2,Soybean
827,98,36,67,16,14,5.2,Wheat
908,60,22,72,22,17,12.9,Barley
1175,70,22,67,16,17,5.7,Sorghum
1342,75,25,84,25,13,9.7,Barley
434,74,32,82,21,24,10.6,Sorghum
605,71,34,70,23,24,11.3,Soybean
480,76,28,60,15,21,11.9,Wheat
1331,98,23,72,22,20,7.5,Wheat
961,62,33,78,21,20,5.1,Sorghum
1271,82,24,83,20,10,12.2,Soybean
787,83,21,62,20,10,10.4,Corn
401,90,30,83,20,24,13.4,Barley
789,84,28,76,23,13,13.2,Barley
965,50,22,64,16,15,13.4,Rice
505,70,28,79,15,17,9.9,Soybean
1171,97,22,80,27,15,8.3,Rice
1221,55,21,67,26,21,12.9,Sorghum
876,77,31,85,20,18,9.5,Rice
1102,66,29,73,24,24,6.8,Wheat
801,54,28,63,25,24,13.5,Barley
1129,80,34,70,22,18,13.8,Rice
955,54,27,79,17,23,9.7,Wheat
561,87,24,74,26,11,5.8,Soybean
601,52,30,78,24,19,8.9,Rice
1357,72,21,66,15,10,13.0,Sorghum
1395,86,34,78,23,11,14.0,Sorghum
669,86,25,87,27,14,7.0,Sorghum
1262,59,27,78,27,13,5.7,Barley
1215,59,24,70,15,13,13.8,Rice
670,68,35,85,17,18,8.9,Soybean
855,66,37,64,22,20,10.4,Rice
861,70,25,64,28,17,14.7,Barley
1126,63,24,89,17,15,5.7,Wheat
651,58,35,81,27,10,11.5,Barley
1101,95,32,67,18,11,5.7,Sorghum
695,50,24,69,22,15,8.8,Wheat
1124,94,32,65,15,20,13.0,Sorghum
1119,62,36,74,27,11,9.3,Corn
1148,53,37,75,27,24,15.0,Barley
737,50,27,87,20,22,10.6,Barley
1278,98,32,76,15,19,8.2,Soybean
452,89,38,67,28,14,7.2,Rice
1191,81,22,67,15,23,8.5,Wheat
1321,83,27,84,28,14,8.7,Wheat
616,77,21,68,22,15,5.7,Soybean
1163,80,27,61,25,15,8.7,Soybean
587,57,32,74,18,23,9.6,Rice
779,88,32,77,26,15,12.2,Sorghum
892,75,20,62,15,23,11.6,Rice
440,83,25,76,24,11,12.1,Barley
556,52,38,63,21,23,5.1,Sorghum
414,99,35,89,19,19,7.2,Corn
1212,61,27,63,19,23,11.6,Rice
464,50,20,73,15,22,9.8,Soybean
1256,93,35,68,28,24,5.1,Sorghum
1238,54,28,68,24,23,13.0,Rice
920,79,32,84,25,12,12.7,Wheat
743,79,30,85,20,23,10.5,Corn
528,66,32,82,28,15,5.7,Barley
1047,97,29,89,23,22,12.7,Wheat
871,96,23,77,23,17,10.8,Wheat
462,72,25,69,22,21,12.8,Corn
538,64,26,80,19,22,12.5,Barley
898,86,24,63,15,20,13.0,Soybean
992,70,30,71,23,21,10.2,Sorghum
791,63,32,86,15,10,6.4,Barley
1074,51,38,67,22,10,11.7,Rice
818,60,29,61,19,20,11.2,Wheat
688,88,29,81,17,22,12.4,Rice
778,87,30,72,25,11,6.7,Soybean
1172,83,26,80,21,20,6.9,Rice
889,87,37,75,21,24,13.9,Barley
630,99,23,87,23,21,12.5,Rice
440,83,21,61,21,21,14.1,Soybean
427,67,33,70,27,15,12.6,Soybean
534,79,32,69,25,18,11.0,Soybean
600,64,31,74,28,13,11.5,Barley
1239,76,26,76,17,12,13.9,Soybean
1179,83,21,67,25,21,10.8,Wheat
1329,87,32,77,27,17,11.3,Soybean
432,82,33,82,29,20,6.6,Rice
447,73,36,68,28,19,9.7,Sorghum
902,64,28,84,27,23,12.2,Rice
806,79,36,67,15,18,7.7,Sorghum
973,91,27,86,22,21,7.0,Rice
1127,66,21,73,26,20,8.1,Barley
1204,54,32,87,17,14,7.4,Rice
498,78,22,85,26,18,7.1,Barley
1083,53,35,84,22,11,9.2,Barley
1271,59,25,77,22,12,14.1,Soybean
1125,66,38,81,27,16,10.1,Wheat
1386,59,26,79,19,16,6.9,Sorghum
946,66,29,89,27,15,5.8,Soybean
1360,69,28,79,26,15,12.0,Soybean
1138,73,21,80,27,11,8.8,Barley
1012,54,34,71,15,19,13.2,Barley
1342,83,24,78,27,15,11.6,Sorghum
861,55,23,73,24,13,13.0,Rice
1042,51,39,76,21,21,7.7,Rice
1168,62,23,83,26,12,11.9,Soybean
404,92,37,80,24,22,7.6,Corn
617,92,23,62,19,20,14.4,Corn
902,97,36,85,22,22,11.4,Rice
1166,60,31,89,23,11,8.2,Corn
797,96,36,82,25,10,7.7,Rice
1270,72,29,66,28,20,6.9,Barley
1194,65,20,76,21,20,11.9,Soybean
792,80,37,71,28,14,7.2,Wheat
606,60,37,68,27,11,11.0,Soybean
414,65,33,74,29,11,7.6,Rice
1257,57,34,77,21,16,11.6,Rice
953,53,31,80,15,17,13.1,Soybean
1291,89,23,72,29,22,12.8,Sorghum
860,53,22,89,18,19,12.6,Rice
1090,74,39,80,16,17,6.9,Corn
974,52,31,89,16,23,5.9,Corn
1263,81,26,67,16,13,12.0,Rice
1142,52,30,73,18,24,8.7,Rice
640,76,20,67,28,23,9.3,Sorghum
963,78,25,73,15,10,5.3,Corn
495,81,34,66,29,20,7.6,Rice
1299,99,34,82,18,16,5.3,Rice
1133,68,38,71,16,10,13.8,Sorghum
884,70,30,70,19,20,7.4,Sorghum
806,54,21,81,17,13,10.6,Soybean
630,67,33,81,29,17,5.4,Sorghum
1148,77,21,70,26,11,11.7,Wheat
1054,91,23,84,22,15,8.2,Corn
570,71,36,81,18,22,14.0,Soybean
940,70,22,87,15,15,13.9,Wheat
435,55,32,88,15,21,8.3,Rice
924,50,28,72,26,18,14.0,Rice
559,54,26,77,24,14,15.0,Soybean
1238,90,34,61,17,19,13.3,Sorghum
1098,61,30,88,29,13,13.4,Rice
642,75,39,80,23,14,7.5,Barley
485,95,21,74,21,21,10.8,Soybean
1195,83,34,79,16,21,5.7,Wheat
977,98,33,86,29,19,5.9,Soybean
1081,63,39,77,27,24,15.0,Corn
956,75,30,74,23,20,8.3,Sorghum
973,94,22,78,24,14,12.5,Sorghum
1352,76,36,82,16,17,13.1,Soybean
1045,58,31,83,17,19,13.6,Rice
1195,75,34,71,25,21,15.0,Rice
427,96,35,72,27,17,7.4,Barley
1019,71,24,81,24,11,5.4,Barley
955,96,39,70,28,16,9.1,Sorghum
739,79,25,64,16,17,6.3,Barley
1197,92,38,88,17,20,5.2,Wheat
1357,97,24,60,20,15,8.6,Barley
730,66,22,83,23,14,12.8,Wheat
1039,75,20,62,23,20,10.7,Barley
905,85,25,81,21,18,8.1,Sorghum
747,50,34,78,26,22,11.5,Sorghum
872,57,21,82,17,12,7.3,Wheat
630,98,22,88,18,21,5.1,Soybean
589,84,36,89,20,22,12.6,Sorghum
624,64,31,66,25,22,11.2,Soybean
784,96,37,71,19,19,12.6,Rice
776,71,34,74,16,13,5.4,Wheat
682,63,31,84,27,18,13.4,Sorghum
1357,75,35,64,20,15,11.2,Corn
1032,77,27,74,17,17,10.6,Rice
1027,72,33,67,28,16,11.2,Soybean
1372,63,36,69,22,20,13.6,Sorghum
1144,73,27,85,16,11,10.9,Wheat
658,51,34,75,15,12,10.8,Barley
758,94,33,67,23,10,14.9,Corn
1109,75,37,60,28,18,12.6,Soybean
855,63,39,71,26,22,9.4,Rice
810,56,26,64,17,16,12.1,Wheat
1048,52,22,62,25,10,8.9,Corn
717,96,31,60,15,12,7.3,Wheat
1076,72,22,63,21,13,11.0,Sorghum
624,95,39,67,27,13,14.3,Barley
1218,92,33,62,29,14,14.3,Rice
633,96,34,69,24,23,8.4,Wheat
1083,94,33,61,19,12,10.3,Soybean
1063,67,26,70,19,12,7.1,Sorghum
1374,87,36,84,28,10,15.0,Sorghum
1226,84,31,69,15,16,14.8,Rice
773,64,39,80,29,20,11.5,Sorghum
1071,74,23,73,29,19,13.0,Soybean
1007,86,28,66,23,23,12.2,Wheat
871,77,25,86,21,10,10.9,Rice
632,59,35,86,22,11,5.5,Sorghum
1091,88,21,61,23,22,9.5,Sorghum
512,66,27,68,20,13,11.7,Soybean
1229,88,30,75,26,22,11.8,Barley
896,71,32,72,19,13,8.7,Barley
841,75,36,68,20,14,14.4,Sorghum
963,93,27,79,25,20,6.7,Wheat
667,74,37,63,16,11,10.0,Rice
909,66,37,81,18,13,11.9,Sorghum
1206,62,33,69,17,10,12.0,Corn
785,69,34,85,27,11,11.5,Rice
786,74,25,85,21,10,7.8,Barley
512,53,30,81,23,19,6.6,Sorghum
1012,59,32,71,19,19,11.4,Soybean
1024,52,20,76,20,22,11.0,Corn
1351,90,25,73,24,13,6.8,Sorghum
480,94,28,73,28,13,12.1,Wheat
1098,67,27,84,26,16,9.6,Corn
512,96,30,61,26,19,11.7,Sorghum
401,85,38,80,16,20,13.4,Wheat
1041,96,28,84,17,20,6.7,Corn
619,71,36,79,17,18,5.2,Wheat
965,83,31,70,26,18,12.8,Wheat
1254,96,33,75,26,14,11.1,Corn
1396,57,34,78,29,19,12.0,Corn
1135,89,35,82,23,10,13.4,Wheat
624,98,39,65,29,10,13.0,Barley
784,93,20,83,21,15,14.6,Corn
802,68,29,78,22,11,10.4,Sorghum
1037,91,27,64,25,17,9.9,Rice
529,90,37,85,24,22,9.0,Soybean
452,86,20,63,25,18,6.5,Wheat
1083,55,21,74,23,22,10.7,Wheat
1129,75,20,88,20,13,7.8,Soybean
1071,83,20,63,18,14,14.2,Barley
1109,94,28,79,26,20,10.8,Soybean
815,55,32,69,15,17,10.9,Corn
646,86,20,83,22,12,8.5,Soybean
1235,82,32,81,21,14,5.5,Wheat
838,71,39,62,16,12,5.3,Soybean
602,70,26,85,22,21,9.2,Rice
583,55,21,64,26,19,5.8,Sorghum
522,55,25,65,19,12,11.1,Corn
800,97,26,80,21,12,13.8,Soybean
1166,53,33,81,18,22,13.8,Wheat
693,79,37,67,19,21,11.6,Sorghum
679,60,34,66,22,16,7.1,Corn
1236,79,21,80,15,24,13.6,Wheat
1283,80,29,69,15,16,13.9,Barley
1009,73,31,65,29,16,7.0,Rice
597,58,36,73,18,19,12.4,Barley
1381,52,27,63,17,17,7.9,Rice
1306,80,30,87,27,14,13.0,Soybean
910,89,22,84,24,14,15.0,Corn
1151,86,25,72,26,23,5.3,Soybean
543,85,28,79,16,13,14.0,Rice
1008,73,25,76,26,16,11.2,Rice
600,80,28,82,17,19,14.7,Rice
523,55,26,66,25,13,9.7,Sorghum
586,51,28,63,29,24,13.5,Wheat
725,69,37,88,29,11,5.6,Corn
863,77,31,73,25,13,8.4,Soybean
748,60,27,62,28,22,5.7,Soybean
