crop_type,rainfall,temperature,fertilizer,nitrogen,phosphorus,potassium,total_npk,n_proportion,p_proportion,temperature_squared,rainfall_fertilizer_interaction,yield
Corn,1230.0,28.0,80.0,80.0,24.0,20.0,124.0,0.6451612903225806,0.1935483870967742,784.0,98400.0,12.0
Sorghum,480.0,36.0,60.0,70.0,20.0,18.0,108.0,0.6481481481481481,0.18518518518518517,1296.0,28800.0,8.0
Soybean,1250.0,29.0,75.0,78.0,22.0,19.0,119.0,0.6554621848739496,0.18487394957983194,841.0,93750.0,11.0
Sorghum,450.0,35.0,65.0,70.0,19.0,18.0,107.0,0.6542056074766355,0.17757009345794392,1225.0,29250.0,9.0
Wheat,1200.0,27.0,80.0,79.0,22.0,19.0,120.0,0.6583333333333333,0.18333333333333332,729.0,96000.0,11.0
Barley,500.0,34.0,70.0,74.0,22.0,16.0,112.0,0.6607142857142857,0.19642857142857142,1156.0,35000.0,10.0
Corn,1275.0,28.0,71.0,77.0,21.0,20.0,118.0,0.652542372881356,0.17796610169491525,784.0,90525.0,11.0
Corn,425.0,37.0,65.0,67.0,18.0,15.0,100.0,0.67,0.18,1369.0,27625.0,7.0
Sorghum,1200.0,27.0,77.0,78.0,23.0,20.0,121.0,0.6446280991735537,0.19008264462809918,729.0,92400.0,12.0
Barley,400.0,39.0,50.0,60.0,18.0,15.0,93.0,0.6451612903225806,0.1935483870967742,1521.0,20000.0,6.0
Barley,1280.0,26.0,80.0,80.0,24.0,20.0,124.0,0.6451612903225806,0.1935483870967742,676.0,102400.0,12.0
Wheat,415.0,38.0,55.0,65.0,19.0,17.0,101.0,0.6435643564356436,0.18811881188118812,1444.0,22825.0,8.0
Sorghum,1225.0,29.0,79.0,79.0,23.0,20.0,122.0,0.6475409836065574,0.1885245901639344,841.0,96775.0,11.0
Sorghum,425.0,37.0,50.0,65.0,18.0,19.0,102.0,0.6372549019607843,0.17647058823529413,1369.0,21250.0,9.0
Rice,1250.0,24.0,70.0,70.0,22.0,18.0,110.0,0.6363636363636364,0.2,576.0,87500.0,11.0
Sorghum,400.0,39.0,60.0,60.0,18.0,15.0,93.0,0.6451612903225806,0.1935483870967742,1521.0,24000.0,5.5
Corn,1300.0,28.0,80.0,80.0,24.0,20.0,124.0,0.6451612903225806,0.1935483870967742,784.0,104000.0,12.0
Wheat,410.0,36.0,55.0,65.0,21.0,16.0,102.0,0.6372549019607843,0.20588235294117646,1296.0,22550.0,7.0
Barley,1150.0,28.0,77.0,76.0,23.0,20.0,119.0,0.6386554621848739,0.19327731092436976,784.0,88550.0,11.0
Sorghum,1200.0,27.0,78.0,78.0,23.0,19.0,120.0,0.65,0.19166666666666668,729.0,93600.0,12.0
Wheat,410.0,37.0,50.0,59.0,19.0,15.0,93.0,0.6344086021505376,0.20430107526881722,1369.0,20500.0,6.0
Sorghum,1280.0,26.0,76.0,75.0,24.0,19.0,118.0,0.635593220338983,0.2033898305084746,676.0,97280.0,11.0
Barley,425.0,38.0,55.0,65.0,19.0,17.0,101.0,0.6435643564356436,0.18811881188118812,1444.0,23375.0,7.0
Soybean,1225.0,29.0,73.0,73.0,23.0,20.0,116.0,0.6293103448275862,0.19827586206896552,841.0,89425.0,10.0
Barley,450.0,37.0,50.0,65.0,18.0,19.0,102.0,0.6372549019607843,0.17647058823529413,1369.0,22500.0,9.0
Barley,1250.0,24.0,70.0,70.0,22.0,18.0,110.0,0.6363636363636364,0.2,576.0,87500.0,10.0
Barley,400.0,39.0,60.0,60.0,18.0,15.0,93.0,0.6451612903225806,0.1935483870967742,1521.0,24000.0,6.0
Sorghum,1250.0,28.0,80.0,80.0,24.0,20.0,124.0,0.6451612903225806,0.1935483870967742,784.0,100000.0,12.0
Rice,405.0,36.0,55.0,60.0,21.0,16.0,97.0,0.6185567010309279,0.21649484536082475,1296.0,22275.0,7.0
Barley,1200.0,29.0,72.0,73.0,21.0,19.0,113.0,0.6460176991150443,0.18584070796460178,841.0,86400.0,10.0
Corn,1150.0,26.0,80.0,75.0,21.0,20.0,116.0,0.646551724137931,0.1810344827586207,676.0,92000.0,11.0
Corn,475.0,39.0,55.0,61.0,18.0,16.0,95.0,0.6421052631578947,0.18947368421052632,1521.0,26125.0,6.0
Wheat,1275.0,26.0,76.0,75.0,24.0,19.0,118.0,0.635593220338983,0.2033898305084746,676.0,96900.0,11.0
Rice,450.0,38.0,55.0,65.0,19.0,17.0,101.0,0.6435643564356436,0.18811881188118812,1444.0,24750.0,7.0
Wheat,1200.0,29.0,73.0,73.0,23.0,20.0,116.0,0.6293103448275862,0.19827586206896552,841.0,87600.0,10.0
Corn,500.0,37.0,50.0,65.0,18.0,19.0,102.0,0.6372549019607843,0.17647058823529413,1369.0,25000.0,9.0
Corn,1300.0,24.0,70.0,70.0,22.0,18.0,110.0,0.6363636363636364,0.2,576.0,91000.0,10.0
Soybean,425.0,39.0,60.0,60.0,18.0,15.0,93.0,0.6451612903225806,0.1935483870967742,1521.0,25500.0,6.0
Barley,1250.0,26.0,75.0,75.0,22.0,19.0,116.0,0.646551724137931,0.1896551724137931,676.0,93750.0,12.0
Corn,440.0,37.0,58.0,66.0,22.0,18.0,106.0,0.6226415094339622,0.20754716981132076,1369.0,25520.0,8.0
Sorghum,1275.0,28.0,78.0,77.0,23.0,21.0,121.0,0.6363636363636364,0.19008264462809918,784.0,99450.0,11.0
Sorghum,405.0,36.0,55.0,60.0,21.0,16.0,97.0,0.6185567010309279,0.21649484536082475,1296.0,22275.0,7.0
Wheat,1175.0,28.0,78.0,75.0,23.0,22.0,120.0,0.625,0.19166666666666668,784.0,91650.0,11.0
Wheat,410.0,39.0,60.0,65.0,18.0,15.0,98.0,0.6632653061224489,0.1836734693877551,1521.0,24600.0,6.0
Barley,1250.0,26.0,80.0,78.0,23.0,19.0,120.0,0.65,0.19166666666666668,676.0,100000.0,11.0
Barley,460.0,38.0,55.0,61.0,20.0,18.0,99.0,0.6161616161616161,0.20202020202020202,1444.0,25300.0,7.0
Soybean,1275.0,26.0,76.0,75.0,24.0,19.0,118.0,0.635593220338983,0.2033898305084746,676.0,96900.0,11.0
Rice,445.0,38.0,60.0,68.0,22.0,18.0,108.0,0.6296296296296297,0.2037037037037037,1444.0,26700.0,8.0
Wheat,1220.0,29.0,77.0,75.0,22.0,19.0,116.0,0.646551724137931,0.1896551724137931,841.0,93940.0,10.0
Barley,450.0,37.0,50.0,60.0,18.0,15.0,93.0,0.6451612903225806,0.1935483870967742,1369.0,22500.0,6.0
Wheat,1225.0,24.0,79.0,79.0,22.0,19.0,120.0,0.6583333333333333,0.18333333333333332,576.0,96775.0,11.0
Barley,430.0,39.0,65.0,65.0,19.0,16.0,100.0,0.65,0.19,1521.0,27950.0,6.0
Corn,1275.0,27.0,77.0,78.0,21.0,20.0,119.0,0.6554621848739496,0.17647058823529413,729.0,98175.0,11.0
Wheat,400.0,38.0,52.0,64.0,19.0,15.0,98.0,0.6530612244897959,0.19387755102040816,1444.0,20800.0,6.5
Corn,1245.0,27.0,78.0,78.0,22.0,19.0,119.0,0.6554621848739496,0.18487394957983194,729.0,97110.0,10.0
Wheat,455.0,37.0,58.0,61.0,21.0,18.0,100.0,0.61,0.21,1369.0,26390.0,7.5
Rice,1280.0,28.0,73.0,75.0,24.0,19.0,118.0,0.635593220338983,0.2033898305084746,784.0,93440.0,11.0
Soybean,475.0,37.0,62.0,68.0,22.0,18.0,108.0,0.6296296296296297,0.2037037037037037,1369.0,29450.0,9.0
Sorghum,1300.0,28.0,79.0,77.0,23.0,19.0,119.0,0.6470588235294118,0.19327731092436976,784.0,102700.0,10.0
Sorghum,425.0,36.0,55.0,65.0,19.0,15.0,99.0,0.6565656565656566,0.1919191919191919,1296.0,23375.0,7.0
Sorghum,1175.0,25.0,77.0,75.0,22.0,19.0,116.0,0.646551724137931,0.1896551724137931,625.0,90475.0,11.0
Corn,425.0,39.0,70.0,70.0,20.0,16.0,106.0,0.660377358490566,0.18867924528301888,1521.0,29750.0,6.5
Barley,1200.0,27.0,75.0,79.0,21.0,20.0,120.0,0.6583333333333333,0.175,729.0,90000.0,11.0
Sorghum,450.0,40.0,56.0,67.0,18.0,15.0,100.0,0.67,0.18,1600.0,25200.0,7.0
Rice,1200.0,27.0,75.0,76.0,21.0,19.0,116.0,0.6551724137931034,0.1810344827586207,729.0,90000.0,11.0
Sorghum,410.0,38.0,55.0,68.0,20.0,16.0,104.0,0.6538461538461539,0.19230769230769232,1444.0,22550.0,7.0
Wheat,1250.0,27.0,75.0,75.0,23.0,20.0,118.0,0.635593220338983,0.19491525423728814,729.0,93750.0,11.0
Corn,475.0,37.0,60.0,63.0,20.0,18.0,101.0,0.6237623762376238,0.19801980198019803,1369.0,28500.0,7.0
Wheat,1225.0,29.0,75.0,77.0,23.0,19.0,119.0,0.6470588235294118,0.19327731092436976,841.0,91875.0,10.0
Wheat,455.0,38.0,60.0,65.0,20.0,16.0,101.0,0.6435643564356436,0.19801980198019803,1444.0,27300.0,8.5
Wheat,1245.0,27.0,77.0,75.0,22.0,20.0,117.0,0.6410256410256411,0.18803418803418803,729.0,95865.0,9.5
Soybean,450.0,40.0,59.0,67.0,18.0,16.0,101.0,0.6633663366336634,0.1782178217821782,1600.0,26550.0,7.5
Soybean,1200.0,27.0,79.0,77.0,23.0,20.0,120.0,0.6416666666666667,0.19166666666666668,729.0,94800.0,10.5
Barley,475.0,36.0,72.0,71.0,21.0,17.0,109.0,0.6513761467889908,0.1926605504587156,1296.0,34200.0,7.0
Corn,1275.0,28.0,77.0,76.0,22.0,19.0,117.0,0.6495726495726496,0.18803418803418803,784.0,98175.0,10.0
Rice,475.0,39.0,58.0,68.0,19.0,16.0,103.0,0.6601941747572816,0.18446601941747573,1521.0,27550.0,7.5
Rice,1300.0,28.0,80.0,80.0,24.0,20.0,124.0,0.6451612903225806,0.1935483870967742,784.0,104000.0,12.0
Rice,400.0,40.0,50.0,60.0,18.0,15.0,93.0,0.6451612903225806,0.1935483870967742,1600.0,20000.0,6.0
Wheat,1175.0,28.0,70.0,70.0,22.0,19.0,111.0,0.6306306306306306,0.1981981981981982,784.0,82250.0,10.0
Soybean,445.0,39.0,65.0,65.0,21.0,19.0,105.0,0.6190476190476191,0.2,1521.0,28925.0,7.5
Corn,1200.0,29.0,77.0,76.0,22.0,19.0,117.0,0.6495726495726496,0.18803418803418803,841.0,92400.0,9.5
Wheat,450.0,38.0,65.0,60.0,20.0,16.0,96.0,0.625,0.20833333333333334,1444.0,29250.0,8.0
Soybean,1225.0,28.0,75.0,79.0,21.0,19.0,119.0,0.6638655462184874,0.17647058823529413,784.0,91875.0,9.5
